"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
8,Wartortle,Starter,8,8,233,238,,,,,,,87,,,,,,,,,,,,,,72,,,,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,3′03″,1,49.6,22.5,,,1,,1,,142,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 36
9,Blastoise,Starter,9,9,234,239,,,,,,,88,,,,,,,,,,,,,,73,,,,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,5′03″,1.6,188.5,85.5,,,,,3,,265,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
9.1,Blastoise (Mega),"Starter, Mega Evolution",,,,,,,,,,,88,,,,,,,,,,,,,,,,,,79,103,120,135,115,78,630,Water,,Mega Launcher,,,5′03″,1.6,222.9,101.1,,,,,3,,315,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
10,Caterpie,,10,10,24,24,,,,,,,23,,,17,17,8,,,17,17,8,,,13,,,,,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,1′00″,0.3,6.4,2.9,1,,,,,,39,255,Med Fast,50,Green,Neutral,15,Bug,,Lv. 7
11,Metapod,,11,11,25,25,,,,,,,24,,,18,18,9,,,18,18,9,,,14,,,,,50,20,55,25,25,30,205,Bug,,Shed Skin,,,2′04″,0.7,21.8,9.9,,,2,,,,72,120,Med Fast,50,Green,Neutral,15,Bug,,Lv. 10
12,Butterfree,,12,12,26,26,,,,,,,25,,,19,19,10,,,19,19,10,,,15,,,,,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,3′07″,1.1,70.5,32,,,,2,1,,178,45,Med Fast,50,White,Neutral,15,Bug,,
13,Weedle,,13,13,27,27,,,,,,,26,,,,,,,,,,,,,,,,,,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,1′00″,0.3,7.1,3.2,,,,,,1,39,255,Med Fast,50,Brown,Neutral,15,Bug,,Lv. 7
14,Kakuna,,14,14,28,28,,,,,,,27,,,,,,,,,,,,,,,,,,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,2′00″,0.6,22,10,,,2,,,,72,120,Med Fast,50,Yellow,Neutral,15,Bug,,Lv. 10
15,Beedrill,,15,15,29,29,,,,,,,28,,,,,,,,,,,,,,,,,,65,90,40,40,80,75,390,Bug,Poison,Swarm,,Sniper,3′03″,1,65,29.5,,2,,,1,,178,45,Med Fast,50,Yellow,Neutral,15,Bug,,Lv. 10
15.1,Beedrill (Mega),Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,150,40,15,80,145,495,Bug,Poison,Adaptability,,,4′07″,1.4,89.3,40.5,,2,,,1,,248,45,Med Fast,50,Yellow,Neutral,15,Bug,,
16,Pidgey,,16,16,10,10,,,,,,,17,,,,,,,,,,,,,,,,,,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1′00″,0.3,4,1.8,,,,,,1,50,255,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 18
17,Pidgeotto,,17,17,11,11,,,,,,,18,,,,,,,,,,,,,,,,,,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,3′07″,1.1,66.1,30,,,,,,2,122,120,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 36
18,Pidgeot,,18,18,12,12,,,,,,,19,,,,,,,,,,,,,,,,,,83,80,75,70,70,91,469,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,4′11″,1.5,87.1,39.5,,,,,,3,240,45,Med Slow,50,Brown,Neutral,15,Flying,,Lv. 36
18.1,Pidgeot (Mega),Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,80,80,135,80,121,579,Normal,Flying,No Guard,,,7′03″,2.2,111.3,50.5,,,,,,3,290,45,Med Slow,50,Brown,Neutral,15,Flying,,
19,Rattata,,19,19,17,17,,,,,,59,,,,15,15,6,6,6,15,15,6,6,6,,,,,,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,1′00″,0.3,7.7,3.5,,,,,,1,51,255,Med Fast,50,Purple,Neutral,15,Field,,Lv. 20
19.1,Rattata (Alolan),Alolan Form,,,,,,,,,,,,,,15,15,6,6,6,15,15,6,6,6,,,,,,30,56,35,25,35,72,253,Dark,Normal,Gluttony,Hustle,Thick Fat,1′00″,0.3,8.4,3.8,,,,,,1,51,255,Med Fast,50,Black,Neutral,15,Field,,Lv. 20 (Night)
20,Raticate,,20,20,18,18,,,,,,60,,,,16,16,7,7,7,16,16,7,7,7,,,,,,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,2′04″,0.7,40.8,18.5,,,,,,2,145,127,Med Fast,50,Brown,Neutral,15,Field,,
20.1,Raticate (Alolan),Alolan Form,,,,,,,,,,,,,,16,16,7,7,7,16,16,7,7,7,,,,,,75,71,70,40,80,77,413,Dark,Normal,Gluttony,Hustle,Thick Fat,2′04″,0.7,56.2,25.5,,,,,,2,145,127,Med Fast,50,Black,Neutral,15,Field,,
21,Spearow,,21,21,13,13,,,,,,,,,109,73,73,,40,24,87,87,,40,33,,,,,,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,1′00″,0.3,4.4,2,,,,,,1,52,255,Med Fast,50,Brown,Neutral,15,Flying,,Lv. 20
22,Fearow,,22,22,14,14,,,,,,,,,110,74,74,,41,25,88,88,,41,34,,,,,,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,3′11″,1.2,83.8,38,,,,,,2,155,90,Med Fast,50,Brown,Neutral,15,Flying,,
23,Ekans,,23,23,50,50,,,,,,,,,37,,,,,,61,61,,,,,,,,,30,60,44,40,54,55,283,Poison,,Intimidate,Shed Skin,Unnerve,6′07″,2,15.2,6.9,,1,,,,,58,255,Med Fast,50,Purple,Neutral,20,Field,Dragon,Lv. 22
24,Arbok,,24,24,51,51,,,,,,,,,38,,,,,,62,62,,,,,,,,,60,95,69,65,79,80,448,Poison,,Intimidate,Shed Skin,Unnerve,11′06″,3.5,143.3,65,,2,,,,,157,90,Med Fast,50,Purple,Neutral,20,Field,Dragon,
25,Pikachu,,25,25,22,22,156,163,104,104,,,36,,,25,25,,,,32,32,,,,194,85,,56,74,35,55,40,50,50,90,320,Electric,,Static,,Lightningrod,1′04″,0.4,13.2,6,,,,,,2,112,190,Med Fast,50,Yellow,Neutral,10,Field,Fairy,Thunder Stone
26,Raichu,,26,26,23,23,157,164,105,105,,,37,,,26,26,,,,33,33,,,,195,86,,57,75,60,90,55,90,80,110,485,Electric,,Static,,Lightningrod,2′07″,0.8,66.1,30,,,,,,3,243,75,Med Fast,50,Yellow,Neutral,10,Field,Fairy,
26.1,Raichu (Alolan),Alolan Form,,,,,,,,,,,,,,26,26,,,,33,33,,,,195,86,,,,60,85,50,95,85,110,485,Electric,Psychic,Surge Surfer,,,2′04″,0.7,46.3,21,,,,,,3,243,75,Med Fast,50,Brown,Neutral,10,Field,Fairy,
27,Sandshrew,,27,27,48,48,112,117,,,,113,,,97,251,,,123,,328,,,149,,,168,,,,50,75,85,20,30,40,300,Ground,,Sand Veil,,Sand Rush,2′00″,0.6,26.5,12,,,1,,,,60,255,Med Fast,50,Yellow,Neutral,20,Field,,Lv. 22
27.1,Sandshrew (Alolan),Alolan Form,,,,,,,,,,,,,,251,,,123,,328,,,149,,,168,,,,50,75,90,10,35,40,300,Ice,Steel,Snow Cloak,,Slush Rush,2′04″,0.7,88.2,40,,,1,,,,60,255,Med Fast,50,White,Neutral,20,Field,,Ice Stone
28,Sandslash,,28,28,49,49,113,118,,,,114,,,98,252,,,124,,329,,,150,,,169,,,,75,100,110,45,55,65,450,Ground,,Sand Veil,,Sand Rush,3′03″,1,65,29.5,,,2,,,,158,90,Med Fast,50,Yellow,Neutral,20,Field,,
28.1,Sandslash (Alolan),Alolan Form,,,,,,,,,,,,,,252,,,124,,329,,,150,,,169,,,,75,100,120,25,65,65,450,Ice,Steel,Snow Cloak,,Slush Rush,3′11″,1.2,121.3,55,,,2,,,,158,90,Med Fast,50,Blue,Neutral,20,Field,,
29,Nidoran (Female),,29,29,95,95,,,,,,,,104,,,,,,,,,,,,,,65,,,55,47,52,40,40,41,275,Poison,,Poison Point,Rivalry,Hustle,1′04″,0.4,15.4,7,1,,,,,,55,235,Med Slow,50,Blue,F (100%),20,Monster,Field,Lv. 16
30,Nidorina,,30,30,96,96,,,,,,,,105,,,,,,,,,,,,,,66,,,70,62,67,55,55,56,365,Poison,,Poison Point,Rivalry,Hustle,2′07″,0.8,44.1,20,2,,,,,,128,120,Med Slow,50,Blue,F (100%),20,Undiscovered,,Moon Stone
31,Nidoqueen,,31,31,97,97,,,,,,,,106,,,,,,,,,,,,,,67,,,90,92,87,75,85,76,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,4′03″,1.3,132.3,60,3,,,,,,253,45,Med Slow,50,Blue,F (100%),20,Undiscovered,,
32,Nidoran (Male),,32,32,98,98,,,,,,,,107,,,,,,,,,,,,,,68,,,46,57,40,40,40,50,273,Poison,,Poison Point,Rivalry,Hustle,1′08″,0.5,19.8,9,,1,,,,,55,235,Med Slow,50,Purple,M (100%),20,Monster,Field,Lv. 16
33,Nidorino,,33,33,99,99,,,,,,,,108,,,,,,,,,,,,,,69,,,61,72,57,55,55,65,365,Poison,,Poison Point,Rivalry,Hustle,2′11″,0.9,43,19.5,,2,,,,,128,120,Med Slow,50,Purple,M (100%),20,Monster,Field,Moon Stone
34,Nidoking,,34,34,100,100,,,,,,,,109,,,,,,,,,,,,,,70,,,81,102,77,85,75,85,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,4′07″,1.4,136.7,62,,3,,,,,253,45,Med Slow,50,Purple,M (100%),20,Monster,Field,
35,Clefairy,,35,35,41,41,,,100,100,,89,,,,211,,,83,,273,,,94,,255,,44,200,,70,45,48,60,65,35,323,Fairy,,Cute Charm,Magic Guard,Friend Guard,2′00″,0.6,16.5,7.5,2,,,,,,113,150,Fast,140,Pink,F (75%),10,Fairy,,Moon Stone
36,Clefable,,36,36,42,42,,,101,101,,90,,,,212,,,84,,274,,,95,,256,,45,201,,95,70,73,95,90,60,483,Fairy,,Cute Charm,Magic Guard,Unaware,4′03″,1.3,88.2,40,3,,,,,,242,25,Fast,140,Pink,F (75%),10,Fairy,,
37,Vulpix,,37,37,125,127,153,160,,,,248,,,,253,,,125,,330,,,151,,68,,,168,,38,41,40,50,65,65,299,Fire,,Flash Fire,,Drought,2′00″,0.6,21.8,9.9,,,,,,1,60,190,Med Fast,50,Brown,F (75%),20,Field,,Fire Stone
37.1,Vulpix (Alolan),Alolan Form,,,,,,,,,,,,,,253,,,125,,330,,,151,,68,,,168,,38,41,40,50,65,65,299,Ice,,Snow Cloak,,Snow Warning,2′00″,0.6,21.8,9.9,,,,,,1,60,190,Med Fast,50,White,F (75%),20,Field,,Ice Stone
38,Ninetales,,38,38,126,128,154,161,,,,249,,,,254,,,126,,331,,,152,,69,,,169,,73,76,75,81,100,100,505,Fire,,Flash Fire,,Drought,3′07″,1.1,43.9,19.9,,,,,1,1,177,75,Med Fast,50,Yellow,F (75%),20,Field,,
38.1,Ninetales (Alolan),Alolan Form,,,,,,,,,,,,,,254,,,126,,331,,,152,,69,,,169,,73,67,75,81,100,109,505,Ice,Fairy,Snow Cloak,,Snow Warning,3′07″,1.1,43.9,19.9,,,,,,2,177,75,Med Fast,50,Blue,F (75%),20,Field,,
39,Jigglypuff,,39,39,44,44,138,143,,,,282,,,120,135,,62,,,168,,69,,,,12,,,60,115,45,20,45,25,20,270,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1′08″,0.5,12.1,5.5,2,,,,,,95,170,Fast,50,Pink,F (75%),10,Fairy,,Moon Stone
40,Wigglytuff,,40,40,45,45,139,144,,,,283,,,121,136,,63,,,169,,70,,,,13,,,61,140,70,45,85,50,45,435,Normal,Fairy,Cute Charm,Competitive,Frisk,3′03″,1,26.5,12,3,,,,,,218,50,Fast,50,Pink,F (75%),10,Fairy,,
41,Zubat,,41,41,37,37,63,65,28,28,,61,145,,,68,68,26,35,19,80,80,26,35,26,,,144,34,,40,45,35,30,40,55,245,Poison,Flying,Inner Focus,,Infiltrator,2′07″,0.8,16.5,7.5,,,,,,1,49,255,Med Fast,50,Purple,Neutral,15,Flying,,Lv. 22
42,Golbat,,42,42,38,38,64,66,29,29,,62,146,,,69,69,27,36,20,81,81,27,36,27,,,145,35,,75,80,70,65,75,90,455,Poison,Flying,Inner Focus,,Infiltrator,5′03″,1.6,121.3,55,,,,,,2,159,90,Med Fast,50,Purple,Neutral,15,Flying,,Friendship
43,Oddish,,43,43,83,83,88,91,,,,,105,,,,,,,,,,,,,55,,,,,45,50,55,75,65,30,320,Grass,Poison,Chlorophyll,,Run Away,1′08″,0.5,11.9,5.4,,,,1,,,64,255,Med Slow,50,Blue,Neutral,20,Grass,,Lv. 22
44,Gloom,,44,44,84,84,89,92,,,,,106,,,,,,,,,,,,,56,,,,,60,65,70,85,75,40,395,Grass,Poison,Chlorophyll,,Stench,2′07″,0.8,19,8.6,,,,2,,,138,120,Med Slow,50,Blue,Neutral,20,Grass,,Leaf Stone/Sun Stone
45,Vileplume,,45,45,85,85,90,93,,,,,107,,,,,,,,,,,,,57,,,,,75,80,85,110,90,50,490,Grass,Poison,Chlorophyll,,Effect Spore,3′11″,1.2,41,18.6,,,,3,,,245,45,Med Slow,50,Red,Neutral,20,Grass,,
46,Paras,,46,46,70,70,,,,,,,,,,147,,74,66,,180,,81,72,,,,,53,,35,70,55,45,55,25,285,Bug,Grass,Effect Spore,Dry Skin,Damp,1′00″,0.3,11.9,5.4,,1,,,,,57,190,Med Fast,50,Red,Neutral,20,Bug,Grass,Lv. 24
47,Parasect,,47,47,71,71,,,,,,,,,,148,,75,67,,181,,82,73,,,,,54,,60,95,80,60,80,30,405,Bug,Grass,Effect Spore,Dry Skin,Damp,3′03″,1,65,29.5,,2,1,,,,142,75,Med Fast,50,Red,Neutral,20,Bug,Grass,
48,Venonat,,48,48,108,109,,,,,,,,,,,,,,,,,,,,,,,,256,60,55,50,40,55,45,305,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,3′03″,1,66.1,30,,,,,1,,61,190,Med Fast,50,Purple,Neutral,20,Bug,,Lv. 31
49,Venomoth,,49,49,109,110,,,,,,,,,,,,,,,,,,,,,,,,257,70,65,60,90,75,90,450,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,4′11″,1.5,27.6,12.5,,,,1,,1,158,75,Med Fast,50,Purple,Neutral,20,Bug,,
50,Diglett,,50,50,132,134,,,,,,,,,1,71,71,29,38,22,85,85,29,38,31,164,,,,148,10,55,25,35,45,95,265,Ground,,Sand Veil,Arena Trap,Sand Force,0′08″,0.2,1.8,0.8,,,,,,1,53,255,Med Fast,50,Brown,Neutral,20,Field,,Lv. 26
50.1,Diglett (Alolan),Alolan Form,,,,,,,,,,,,,,71,71,29,38,22,85,85,29,38,31,164,,,,,10,55,30,35,45,90,265,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,0′08″,0.2,2.2,1,,,,,,1,53,255,Med Fast,50,Brown,Neutral,20,Field,,Lv. 26
51,Dugtrio,,51,51,133,135,,,,,,,,,2,72,72,30,39,23,86,86,30,39,32,165,,,,149,35,100,50,50,70,120,425,Ground,,Sand Veil,Arena Trap,Sand Force,2′04″,0.7,73.4,33.3,,,,,,2,149,50,Med Fast,50,Brown,Neutral,20,Field,,
51.1,Dugtrio (Alolan),Alolan Form,,,,,,,,,,,,,,72,72,30,39,23,86,86,30,39,32,165,,,,,35,100,60,50,70,110,425,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,2′04″,0.7,146.8,66.6,,2,,,,,149,50,Med Fast,50,Brown,Neutral,20,Field,,
52,Meowth,,52,52,136,138,,,,,,,,,,45,45,,23,,52,52,,23,,182,,,,141,40,45,35,40,40,90,290,Normal,,Pickup,Technician,Unnerve,1′04″,0.4,9.3,4.2,,,,,,1,58,255,Med Fast,50,Yellow,Neutral,20,Field,,Lv. 28
52.1,Meowth (Alolan),Alolan Form,,,,,,,,,,,,,,45,45,,23,,52,52,,23,,182,,,,,40,35,35,50,40,90,290,Dark,,Pickup,Technician,Rattled,1′04″,0.4,9.3,4.2,,,,,,1,58,255,Med Fast,50,Blue,Neutral,20,Field,,Friendship
52.2,Meowth (Galarian),Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,50,65,55,40,40,40,290,Steel,,Pickup,Tough Claws,Unnerve,1′04″,0.4,16.5,7.5,,1,,,,,58,255,Med Fast,50,Brown,Neutral,20,Field,,Lv. 28
53,Persian,,53,53,137,139,,,,,,,,,,46,46,,24,,53,53,,24,,184,,,,142,65,70,60,65,65,115,440,Normal,,Limber,Technician,Unnerve,3′03″,1,70.5,32,,,,,,2,154,90,Med Fast,50,Yellow,Neutral,20,Field,,
53.1,Persian (Alolan),Alolan Form,,,,,,,,,,,,,,46,46,,24,,53,53,,24,,184,,,,,65,60,60,75,65,115,440,Dark,,Fur Coat,Technician,Rattled,3′07″,1.1,72.8,33,,,,,,2,154,90,Med Fast,50,Blue,Neutral,20,Field,,
54,Psyduck,,54,54,138,140,158,165,43,43,,28,59,,,89,89,32,49,39,107,107,32,52,51,,146,,68,55,50,52,48,65,50,55,320,Water,,Damp,Cloud Nine,Swift Swim,2′07″,0.8,43.2,19.6,,,,1,,,64,190,Med Fast,50,Yellow,Neutral,20,Water 1,Field,Lv. 33
55,Golduck,,55,55,139,141,159,166,44,44,,29,60,,,90,90,33,50,40,108,108,33,53,52,,147,,69,56,80,82,78,95,80,85,500,Water,,Damp,Cloud Nine,Swift Swim,5′07″,1.7,168.9,76.6,,,,2,,,175,75,Med Fast,50,Blue,Neutral,20,Water 1,Field,
56,Mankey,,56,56,134,136,,,,,,,,,,79,79,,,30,93,93,,,39,,,,,158,40,80,35,35,45,70,305,Fighting,,Vital Spirit,Anger Point,Defiant,1′08″,0.5,61.7,28,,1,,,,,61,190,Med Fast,50,Brown,Neutral,20,Field,,Lv. 28
57,Primeape,,57,57,135,137,,,,,,,,,,80,80,,,31,94,94,,,40,,,,,159,65,105,60,60,70,95,455,Fighting,,Vital Spirit,Anger Point,Defiant,3′03″,1,70.5,32,,2,,,,,159,75,Med Fast,50,Brown,Neutral,20,Field,,Level Up (After Using Rage Fist 20 Times)
58,Growlithe,,58,58,127,129,,,,,,51,,,,52,52,,,,64,64,,,,70,,,,213,55,70,45,70,50,60,350,Fire,,Intimidate,Flash Fire,Justified,2′04″,0.7,41.9,19,,1,,,,,70,190,Slow,50,Brown,M (75%),20,Field,,Fire Stone
58.1,Growlithe (Hisuian),Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,60,75,45,65,50,55,350,Fire,Rock,Intimidate,Flash Fire,Rock Head,2′07″,0.8,50,22.7,,1,,,,,70,190,Slow,50,Brown,M (75%),20,Field,,Fire Stone
59,Arcanine,,59,59,128,130,,,,,,52,,,,53,53,,,,65,65,,,,71,,,,214,90,110,80,100,80,95,555,Fire,,Intimidate,Flash Fire,Justified,6′03″,1.9,341.7,155,,2,,,,,194,75,Slow,50,Brown,M (75%),20,Field,,
59.1,Arcanine (Hisuian),Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,95,115,80,95,80,90,555,Fire,Rock,Intimidate,Flash Fire,Rock Head,6′07″,2,370.4,168,,2,,,,,194,75,Slow,50,Brown,M (75%),20,Field,,
60,Poliwag,,60,60,72,72,,,,,,,,,33,149,,76,68,,182,,83,74,,,142,,,,40,50,40,40,40,90,300,Water,,Water Absorb,Damp,Swift Swim,2′00″,0.6,27.3,12.4,,,,,,1,60,255,Med Slow,50,Blue,Neutral,20,Water 1,,Lv. 25
61,Poliwhirl,,61,61,73,73,,,,,,,,,34,150,,77,69,,183,,84,75,,,143,,,,65,65,65,50,50,90,385,Water,,Water Absorb,Damp,Swift Swim,3′03″,1,44.1,20,,,,,,2,135,120,Med Slow,50,Blue,Neutral,20,Water 1,,Water Stone/Trade (Holding King's Rock)
62,Poliwrath,,62,62,74,74,,,,,,,,,35,151,,78,70,,184,,85,76,,,144,,,,90,95,95,70,90,70,510,Water,Fighting,Water Absorb,Damp,Swift Swim,4′03″,1.3,119,54,,,3,,,,255,45,Med Slow,50,Blue,Neutral,20,Water 1,,
63,Abra,,63,63,89,89,39,40,20,20,,,102,,,42,42,,,,49,49,,,,,31,,58,,25,20,15,105,55,90,310,Psychic,,Synchronize,Inner Focus,Magic Guard,2′11″,0.9,43,19.5,,,,1,,,62,200,Med Slow,50,Brown,M (75%),20,Human-Like,,Lv. 16
64,Kadabra,,64,64,90,90,40,41,21,21,,,103,,,43,43,,,,50,50,,,,,32,,59,,40,35,30,120,70,105,400,Psychic,,Synchronize,Inner Focus,Magic Guard,4′03″,1.3,124.6,56.5,,,,2,,,140,100,Med Slow,50,Brown,M (75%),20,Human-Like,,Trade
65,Alakazam,,65,65,91,91,41,42,22,22,,,104,,,44,44,,,,51,51,,,,,33,,60,,55,50,45,135,95,120,500,Psychic,,Synchronize,Inner Focus,Magic Guard,4′11″,1.5,105.8,48,,,,3,,,250,50,Med Slow,50,Brown,M (75%),20,Human-Like,,
65.1,Alakazam (Mega),Mega Evolution,,,,,,42,,,,,104,,,44,44,,,,51,51,,,,,,,,,55,50,65,175,95,150,590,Psychic,,Trace,,,3′11″,1.2,105.8,48,,,,3,,,300,50,Med Slow,50,Brown,M (75%),20,Human-Like,,
66,Machop,,66,66,140,142,73,75,40,40,,,,57,,95,95,,,45,117,117,,,57,138,,,154,,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,2′07″,0.8,43,19.5,,1,,,,,61,180,Med Slow,50,Gray,M (75%),20,Human-Like,,Lv. 28
67,Machoke,,67,67,141,143,74,76,41,41,,,,58,,96,96,,,46,118,118,,,58,139,,,155,,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,4′11″,1.5,155.4,70.5,,2,,,,,142,90,Med Slow,50,Gray,M (75%),20,Human-Like,,Trade
